駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
二川,"5,168","2,703","1,350",49.94,423,"1,781",460,"1,661","1,106",403,36,19,"161,549",90,5,0,10.7,8.97,12.42,18.02,12.8,12.31,12.16,7.17,5.44,52.63,31.58,822
豊橋,"52,992","3,942","1,894",48.05,348,"2,311","1,196","12,020","1,856",815,44,350,"3,454,286","1,193",113,412,5.91,6.43,8.98,11.83,12.79,13.41,16.86,14.11,9.68,65.14,32.86,"10,284"
西小坂井,"2,572","2,955","1,446",48.93,394,"1,802",753,"2,215","1,079",259,24,37,"279,343",132,10,237,8.95,9.05,8.85,14.21,14.14,11.29,15.87,11.73,5.9,48.65,45.95,878
愛知御津,"2,638","3,006","1,448",48.17,456,"1,876",642,"2,342","1,075",285,27,43,"190,823",174,9,551,9.62,10.36,10.79,13.72,13.58,12.74,13.69,9.58,5.92,48.84,39.53,830
三河大塚,"2,528","1,514",752,49.67,202,990,320,"1,116",494,91,18,9,"41,526",78,5,53,8.8,10.52,9.86,13.37,14.76,13.24,14.76,9.86,4.83,55.56,44.44,503
三河三谷,"3,940","4,219","2,029",48.09,514,"2,571","1,122","3,111","1,547",408,26,52,"263,456",252,19,354,7.58,9.36,10.1,12.31,13.05,12.45,15.9,12.17,7.08,36.54,46.15,"1,383"
蒲郡,"14,386","2,910","1,388",47.7,359,"1,750",788,"4,669","1,189",368,31,98,"889,311",431,44,166,8.56,7.56,10.32,14.61,12.29,12.05,15.12,11.84,7.63,59.18,35.71,"3,535"
三河塩津,"2,674","1,876",942,50.21,274,"1,191",398,"1,773",677,193,29,21,"352,539",103,11,625,8.95,10.83,12.76,14.53,13.35,10.56,14.16,9.92,4.93,23.81,38.1,610
三ケ根,"2,420","1,883",937,49.76,260,"1,269",351,"1,692",664,151,23,13,"75,523",100,8,334,9.41,9.26,13.35,15.9,13.14,13.03,12.87,8.24,4.79,46.15,38.46,781
幸田,"7,586","2,900","1,466",50.55,409,"2,033",453,"1,910","1,160",419,36,35,"122,700",163,11,162,9.68,10.37,14.76,15,15.76,12.58,10.89,7.6,3.35,54.29,37.14,955
岡崎,"33,066","4,335","2,155",49.71,648,"2,874",788,"3,335","1,770",593,34,65,"386,599",260,19,20,10.54,9.12,12.28,17.17,15.6,11.02,11.14,8.68,4.46,46.15,44.62,"2,045"
西岡崎,"3,434","3,863","1,932",50.01,664,"2,720",472,"2,715","1,484",441,30,22,"218,105",153,13,533,11.59,10.76,15.35,18.46,14.54,10.22,11.85,4.61,2.62,50,31.82,"1,017"
安城,"21,520","6,293","3,098",49.23,"1,004","4,103","1,139","5,805","2,580",817,32,116,"750,284",444,39,515,11.51,8.84,10.49,18.43,14.84,11.58,11.24,8.18,4.9,62.07,31.03,"3,597"
三河安城,"10,832","4,145","2,249",54.26,751,"3,063",279,"4,983","1,942",927,48,25,"658,624",225,18,24,11.85,11.92,14.48,20.2,20.35,10.09,6.6,2.74,1.78,36,40,"3,847"
東刈谷,"10,219","7,433","3,802",51.15,"1,196","5,229",954,"4,380","3,036",971,32,63,"924,087",269,24,229,10.53,11.15,13.04,17.08,16.29,11.98,11.76,5.62,2.55,46.03,42.86,"1,934"
刈谷,"56,142","3,320","1,707",51.42,439,"2,312",514,"7,936","1,539",642,42,59,"648,197",409,43,261,9.38,7.6,14.77,19.06,14.89,11.95,11.19,7.45,3.71,57.63,35.59,"6,753"
逢妻,"3,939","4,017","2,061",51.31,610,"2,688",707,"3,398","1,591",457,29,33,"480,806",157,17,606,10.27,9.57,12.82,18.26,14.76,9.87,12.62,7.34,4.5,51.52,33.33,"1,467"
大府,"25,424","4,015","2,002",49.86,655,"2,699",644,"3,948","1,653",513,31,55,"367,369",252,21,68,11.73,8.65,10.78,21.61,15.28,10.3,10.38,7.4,3.88,56.36,38.18,"2,778"
共和,"15,946","5,169","2,726",52.74,734,"3,679",741,"5,053","2,356",976,41,75,"1,086,237",320,33,441,9.47,9.96,14.77,18.44,14.5,11.51,12.5,6.27,2.58,64,26.67,"3,240"
大高,"11,366","4,252","2,075",48.8,530,"2,700","1,000","3,015","1,684",462,27,34,"241,234",194,14,162,8.16,8.51,11.65,14.61,12.79,12.39,14.94,10.26,6.69,52.94,32.35,"1,322"
笠寺,"13,452","3,799","1,943",51.15,323,"2,402","1,022","6,451","1,794",772,43,43,"836,167",275,36,692,5.47,6.81,12.52,13.72,12.12,12.73,17.85,11.88,6.91,46.51,34.88,"4,345"
熱田,"5,594","4,843","2,379",49.12,511,"3,289",989,"8,254","2,217",876,40,97,"1,312,843",439,51,463,6.73,8.54,12.3,13.41,14.69,14.92,14.62,9.15,5.64,72.16,23.71,"6,288"
金山,"112,000","8,448","4,176",49.43,648,"5,626","1,691","21,896","4,944","2,987",60,139,"2,037,688","1,183",120,"2,551",5.7,5.44,15.68,16.47,14.53,13.07,13.91,10.18,5.02,59.71,36.69,"17,092"
尾頭橋,"5,944","8,069","3,962",49.1,733,"5,253","1,839","9,219","4,107","2,084",51,87,"1,129,760",590,66,583,6.54,6.21,13.04,15.82,13.1,12.91,15.59,10.58,6.21,50.57,43.68,"6,243"
名古屋,"397,008","3,134","1,607",51.28,163,"2,038",721,"72,855","1,935","1,307",68,438,"25,358,093","3,042",331,"3,557",3.77,7.84,17.32,14.79,11.81,11.09,15.54,10.72,7.12,63.47,34.47,"68,525"
枇杷島,"6,364","4,079","2,042",50.06,660,"2,685",709,"4,931","1,644",489,30,31,"424,890",145,17,651,11.91,8.56,11.81,20.42,12.55,10.8,11.81,8.24,3.9,45.16,45.16,"2,982"
清洲,"7,396","3,112","1,552",49.87,497,"2,072",536,"1,670","1,168",279,24,7,"125,172",72,4,0,10.33,10.5,10.98,17.97,15.23,10.75,12.69,8.11,3.44,71.43,28.57,636
稲沢,"13,726","4,703","2,318",49.29,735,"3,124",844,"3,516","1,845",534,29,43,"202,247",178,26,23,11.74,7.93,11.29,20.46,14.08,10.17,10.89,7.93,5.51,46.51,39.53,"2,133"
尾張一宮,"52,510","6,179","2,920",47.26,705,"3,926","1,475","9,525","2,829","1,135",40,209,"2,273,656",872,84,411,7.76,7.35,9.71,16.21,14.74,12.56,14.15,10.96,6.55,67.46,30.62,"7,211"
木曽川,"7,416","4,553","2,186",48.01,617,"2,914",999,"2,732","1,670",363,22,41,"160,452",184,13,193,9.09,9.29,10.08,15.86,13.9,11.87,14.5,10.15,5.25,58.54,34.15,962
名古屋,"397,008","3,134","1,607",51.28,163,"2,038",721,"72,855","1,935","1,307",68,438,"25,358,093","3,042",331,"3,557",3.77,7.84,17.32,14.79,11.81,11.09,15.54,10.72,7.12,63.47,34.47,"68,525"
金山,"126,638","8,448","4,176",49.43,648,"5,626","1,691","21,896","4,944","2,987",60,139,"2,037,688","1,183",120,"2,551",5.7,5.44,15.68,16.47,14.53,13.07,13.91,10.18,5.02,59.71,36.69,"17,092"
鶴舞,"38,896","6,209","2,983",48.04,381,"4,026","1,088","12,501","4,080","2,856",70,101,"1,761,485",685,77,"1,343",5,5.2,21.07,15.1,13.12,12.81,14.37,8.86,4.48,55.45,32.67,"9,812"
千種,"54,908","8,799","4,217",47.93,554,"5,895","1,866","20,089","5,290","3,456",65,148,"2,398,629","1,342",154,"1,957",4.7,6.22,15.52,16.26,14.86,12.9,12.52,9.8,7.22,59.46,35.81,"15,837"
大曽根,"57,592","6,449","3,068",47.57,652,"4,453","1,173","11,949","3,353","1,709",51,102,"1,228,745",580,66,837,7.23,6.94,14.85,16.66,14.96,13.27,12.79,8.33,4.97,56.86,39.22,"9,409"
新守山,"14,176","6,550","3,312",50.56,"1,035","4,425","1,034","6,153","2,704",872,32,47,"855,984",305,25,773,10.12,10.78,11.46,17.43,16.49,11.6,11.36,7.59,3.17,46.81,40.43,"3,256"
勝川,"31,756","6,561","3,214",48.99,990,"4,485","1,034","3,949","2,814",882,31,70,"456,522",269,25,71,11.4,7.62,11.74,21.44,15.37,10.65,10.91,7.16,3.72,51.43,41.43,"2,086"
春日井,"30,864","7,036","3,622",51.48,923,"4,870","1,179","4,108","3,270","1,339",41,56,"344,065",304,30,62,8.91,8.67,12.53,17.63,14.58,13.07,13.86,7.46,3.3,41.07,55.36,"1,894"
神領,"22,106","3,895","1,972",50.63,781,"2,516",569,"2,075","1,627",556,34,10,"133,590",65,8,0,15.42,8.35,12.36,24.94,12.88,6.7,9.05,6.96,3.34,40,50,880
高蔵寺,"39,900","3,838","1,899",49.48,583,"2,569",655,"4,085","1,611",554,34,58,"453,412",229,20,369,10.19,10.09,12.03,16.84,14.84,12.35,12.01,7.59,4.05,53.45,39.66,"2,567"
定光寺,234,64,28,43.75,19,37,9,35,19,2,11,0,0,1,0,0,17.19,17.19,4.69,12.5,23.44,6.25,9.38,4.69,4.69,0,0,9
豊橋,"52,992","3,942","1,894",48.05,348,"2,311","1,196","12,020","1,856",815,44,350,"3,454,286","1,193",113,412,5.91,6.43,8.98,11.83,12.79,13.41,16.86,14.11,9.68,65.14,32.86,"10,284"
船町,276,"3,386","1,661",49.05,538,"2,133",684,"1,999","1,334",388,29,25,"192,108",140,6,2,11.06,8.94,11.36,16.96,13.77,11.09,12.31,9.12,5.39,40,48,915
下地,342,"1,571",776,49.4,255,955,352,"1,070",560,123,22,9,"53,300",61,4,125,10.86,9.2,9.58,16.86,12.58,11.69,13.35,9.51,6.39,33.33,44.44,413
小坂井,820,"2,256","1,100",48.76,300,"1,359",589,"2,209",799,171,21,28,"285,037",107,5,263,8.54,9.2,9.6,14.05,12.54,11.43,15.78,12.01,6.85,35.71,50,"1,024"
牛久保,"1,598","2,634","1,308",49.66,294,"1,619",704,"2,567",980,259,26,47,"393,651",171,9,271,7,8.68,9.71,12.88,12.81,13.07,16.09,12.73,7.03,57.45,25.53,"1,299"
豊川,"6,124","3,440","1,669",48.52,441,"2,111",864,"3,452","1,356",386,28,117,"655,711",333,41,263,8.19,9.8,9.01,13.2,13.52,13.23,14.54,11.33,7.17,52.99,38.46,"2,063"
三河一宮,"1,618","2,354","1,183",50.25,407,"1,511",418,"1,844",868,229,26,20,"189,550",70,4,293,12.29,8.99,11.9,17.08,13.48,10.57,14,7.79,3.9,45,50,690
長山,406,"1,091",574,52.61,148,721,221,856,405,111,27,3,"56,036",31,1,228,7.9,10.39,12.59,12.13,12.78,14.43,15.63,9.47,4.69,33.33,33.33,282
江島,188,581,272,46.82,54,349,178,338,189,17,9,4,"67,132",17,2,6,5.83,7.89,8.75,11.66,9.61,13.21,24.87,11.84,6.35,0,75,99
東上,298,660,322,48.79,84,428,148,306,211,34,16,2,"4,511",15,2,0,8.32,8.02,12.86,12.1,10.59,14.83,17.4,8.32,7.56,0,50,49
野田城,592,"1,213",626,51.61,176,787,251,"1,049",453,142,31,12,"183,122",62,3,0,9.98,10.88,11.79,14.26,12.86,11.95,13.27,8.82,6.18,41.67,41.67,646
新城,"2,196","2,625","1,261",48.04,320,"1,541",764,"3,034",926,210,23,90,"874,047",268,19,197,7.51,8.8,8.57,11.47,12.2,14.14,14.37,13.38,9.57,55.56,35.56,"1,894"
東新町,"1,088","2,656","1,320",49.7,402,"1,613",641,"2,064",970,247,25,39,"446,712",163,11,15,10.24,9.67,9.52,13.55,12.72,13.25,12.5,11.59,6.96,58.97,25.64,"1,155"
茶臼山,864,"1,551",814,52.48,211,"1,019",321,"1,304",586,187,32,14,"254,135",57,2,310,8.63,9.86,11.53,14.24,11.73,15.46,13.4,9.21,5.93,28.57,57.14,451
三河東郷,192,524,263,50.19,59,328,137,509,182,53,29,5,"7,810",27,1,132,6.51,9.39,12.26,9.96,12.45,13.6,17.43,9.96,8.43,40,60,177
大海,390,"1,056",534,50.57,137,658,265,520,361,48,13,3,0,39,2,0,7.64,9.25,8.96,10.38,11.51,18.02,15.85,11.04,7.36,33.33,66.67,156
鳥居,102,331,166,50.15,41,180,110,806,113,26,23,4,"7,027",24,2,0,5.72,10.84,4.82,11.75,12.95,12.35,16.87,13.25,11.45,25,50,648
長篠城,118,587,285,48.55,74,341,172,472,193,30,16,7,"64,663",28,1,50,7.51,8.7,7,11.95,10.07,14.16,20.14,12.63,7.85,28.57,57.14,189
本長篠,"1,060",731,347,47.47,98,449,185,768,242,49,20,12,"42,508",46,3,108,8.32,9.69,11.05,11.46,11.05,14.19,15.01,10.78,8.46,41.67,33.33,419
三河大野,452,615,279,45.37,61,319,235,524,187,35,19,9,"33,749",43,2,10,5.85,8.29,6.02,8.62,10.24,13.98,16.91,14.47,15.61,22.22,55.56,254
湯谷温泉,284,142,67,47.18,13,80,48,215,44,10,23,1,0,16,2,0,6.34,8.45,9.15,7.75,7.75,15.49,20.42,11.97,12.68,100,0,160
三河槙原,112,136,72,52.94,8,78,48,111,41,6,15,2,0,7,0,0,4.48,5.22,8.96,8.21,8.96,19.4,19.4,13.43,11.94,50,50,44
柿平,40,31,18,58.06,3,15,12,23,11,4,36,0,0,2,1,0,3.33,6.67,3.33,16.67,0,16.67,23.33,16.67,13.33,0,0,3
三河川合,184,317,155,48.9,13,160,152,253,117,23,20,5,"4,954",25,1,28,1.85,5.25,6.17,4.94,10.19,16.05,20.06,20.99,14.51,40,40,71
池場,16,27,14,51.85,0,12,14,22,11,1,9,0,0,2,1,0,0,0,4.17,0,4.17,20.83,25,25,20.83,0,0,4
東栄,302,286,138,48.25,16,144,127,272,83,21,25,3,"13,498",3,0,0,3.47,5.21,2.43,4.17,12.15,17.36,18.75,23.61,12.85,0,100,81
大府,"25,424","4,015","2,002",49.86,655,"2,699",644,"3,948","1,653",513,31,55,"367,369",252,21,68,11.73,8.65,10.78,21.61,15.28,10.3,10.38,7.4,3.88,56.36,38.18,"2,778"
尾張森岡,606,"1,614",810,50.19,220,"1,021",364,"1,425",644,187,29,20,"312,287",74,4,302,9.09,10.4,11.58,13.45,14.32,11.27,13.89,10.65,5.35,25,65,564
緒川,"2,554","2,578","1,344",52.13,325,"1,687",559,"2,997","1,088",420,39,30,"702,382",168,19,56,7.9,9.33,15.48,15.01,12.76,10.66,13.07,10.35,5.45,53.33,40,"2,086"
石浜,"1,432","2,416","1,260",52.15,455,"1,694",247,"1,122","1,077",462,43,9,"69,691",63,1,83,14.04,9.15,19.05,24.52,12.07,6.39,7.64,4.8,2.34,22.22,66.67,400
東浦,"3,258","3,178","1,606",50.53,589,"2,091",493,"1,786","1,110",232,21,18,"182,705",102,9,0,12.33,12.74,11.54,16.42,16.14,9.8,10.47,6.94,3.63,44.44,55.56,856
亀崎,"3,994","3,927","1,944",49.5,702,"2,373",844,"3,303","1,465",348,24,27,"238,727",101,5,"1,018",12.41,9.47,9.78,16.42,13.07,10.11,13.33,10.14,5.28,37.04,62.96,759
乙川,"1,516","3,109","1,525",49.05,429,"2,070",597,"2,420","1,194",301,25,49,"1,108,973",173,17,0,7.91,12.4,13.01,13.91,13.3,13.07,12.36,8.55,5.49,53.06,30.61,"1,413"
半田,"3,268","4,370","2,112",48.33,593,"2,720","1,023","4,665","1,811",608,34,119,"603,075",432,42,205,9.82,7.77,10.42,15.73,13.93,11.46,12.89,10.42,7.54,59.66,36.97,"3,144"
東成岩,738,"2,450","1,251",51.06,370,"1,646",415,"4,970",983,311,32,26,"474,231",165,19,0,9.66,10.85,11.84,17.84,14.3,10.81,12.7,8.14,3.86,42.31,23.08,"4,187"
武豊,"1,622","3,377","1,724",51.05,485,"2,160",729,"3,648","1,317",362,27,43,"312,866",173,13,623,9.03,10.6,11.4,13.68,14.13,11.79,14.69,9.24,5.42,51.16,34.88,"1,879"
名古屋,"397,008","3,134","1,607",51.28,163,"2,038",721,"72,855","1,935","1,307",68,438,"25,358,093","3,042",331,"3,557",3.77,7.84,17.32,14.79,11.81,11.09,15.54,10.72,7.12,63.47,34.47,"68,525"
八田,"1,838","6,212","3,120",50.23,776,"4,075","1,263","5,178","2,812","1,171",42,44,"876,376",310,37,438,9.21,7.46,12.41,17.55,14.03,11.3,13.94,9.4,4.69,45.45,45.45,"2,774"
春田,"3,784","6,160","3,008",48.83,982,"3,904","1,236","5,247","2,389",587,25,30,"473,771",211,18,"1,250",9.44,12.61,10.18,15.42,15.44,10.07,12.66,10.31,3.86,50,33.33,"1,944"
蟹江,"6,014","3,818","1,854",48.56,494,"2,297","1,020","2,964","1,425",320,22,42,"837,550",189,23,0,8.34,9.71,8.37,14.06,13.93,11.1,15.45,12.93,6.11,50,40.48,"1,571"
永和,"2,280",924,451,48.81,143,597,183,915,308,54,18,5,"38,121",49,6,299,10.73,10.29,9.64,14.63,13.98,11.38,17.33,8.56,3.47,40,20,322
弥富,"1,988","4,725","2,335",49.42,658,"3,024",983,"3,855","1,917",608,32,66,"471,843",290,23,310,9.19,9.67,11.7,16.05,13.59,11.72,13.67,10.05,4.35,53.03,40.91,"1,983"
高畑,"21,006","7,383","3,709",50.24,844,"5,075","1,326","6,156","3,552","1,593",45,54,"420,661",381,49,68,7.77,8.31,12.39,18.38,15.28,12.23,13.46,8.71,3.48,55.56,35.19,"3,921"
八田,"11,900","6,867","3,458",50.36,746,"4,644","1,334","5,286","3,284","1,635",50,32,"430,415",345,39,36,7.73,7.45,13.92,18.53,14.19,11.75,12.37,8.48,5.58,40.63,40.63,"3,242"
岩塚,"15,055","8,185","4,121",50.35,800,"5,461","1,763","8,416","4,156","2,069",50,62,"1,036,780",437,49,"1,346",6.26,8.03,14.18,14.81,13.44,12.31,16.18,10.36,4.44,51.61,30.65,"4,549"
中村公園,"23,916","9,291","4,698",50.57,728,"5,847","2,532","8,201","5,030","2,841",56,120,"912,712",662,83,56,4.9,6.6,12.7,13.88,12.45,12.72,17.13,13.52,6.1,50,47.5,"4,584"
中村日赤,"8,973","9,330","4,606",49.37,662,"5,740","2,733","8,670","4,932","2,670",54,115,"840,398",567,68,629,4.69,5.93,13.84,13.18,12.19,11.67,16.64,13.59,8.27,45.22,49.57,"4,462"
本陣,"14,121","8,960","4,506",50.29,696,"5,836","2,192","7,804","4,953","2,835",57,91,"1,017,057",565,57,520,5.26,6.21,15.87,15.22,12.96,11.85,14.73,11.51,6.38,40.66,47.25,"4,352"
亀島,"8,473","6,537","3,418",52.29,497,"4,385","1,404","12,390","3,722","2,277",61,70,"1,045,617",702,66,"2,082",5.35,7.77,16.84,14.66,13.88,11.71,13.73,10.06,6.02,45.71,41.43,"8,453"
名古屋,"357,650","3,160","1,622",51.33,159,"2,062",723,"73,098","1,957","1,327",68,441,"25,565,155","3,053",330,"3,546",3.64,7.95,17.4,14.75,11.82,11.18,15.53,10.64,7.1,63.27,34.47,"68,779"
伏見,"89,528","3,131","1,592",50.85,188,"1,925",553,"65,302","2,102","1,518",72,250,"7,047,679","3,663",313,747,4.39,5.71,14.75,17.38,16.78,13.29,12.5,9.38,5.82,71.2,25.6,"64,018"
栄,"224,228","2,694","1,269",47.1,135,"1,637",535,"78,164","1,847","1,308",71,804,"26,198,548","4,481",484,808,4.12,4.46,15.3,16.51,15.26,12.83,14.48,10.14,6.89,82.46,16.79,"76,830"
新栄町,"27,728","7,622","3,569",46.82,373,"4,753","1,362","27,395","5,488","4,277",78,151,"2,014,739","1,874",204,"2,695",4.25,4.5,18.49,17.97,14.36,12.07,13.22,8.97,6.16,58.28,29.8,"23,178"
千種,"51,090","8,896","4,214",47.37,559,"5,901","1,916","20,471","5,289","3,448",65,143,"2,286,416","1,314",144,"1,928",4.75,6.52,15.3,16.04,14.86,12.74,12.15,9.91,7.72,59.44,35.66,"16,241"
今池,"41,847","9,581","5,020",52.4,587,"6,611","1,883","18,109","6,211","4,315",69,191,"2,383,644","1,534",197,"2,045",4.23,5.84,17.61,16.28,14.21,13.63,13.32,9.66,5.23,54.97,39.27,"13,779"
池下,"27,428","10,361","5,130",49.51,860,"6,843","2,185","11,646","6,093","3,700",61,134,"1,194,178","1,005",118,657,5.78,6.35,13.64,15.28,15.37,14.02,13.21,10.45,5.91,55.97,41.04,"8,256"
覚王山,"19,010","9,547","4,606",48.25,"1,055","6,377","1,756","7,717","5,217","2,808",54,113,"967,547",543,59,"1,308",7.92,7.11,13.16,17,15.87,13.03,12.05,8.89,4.99,68.14,27.43,"3,654"
本山,"28,989","9,195","4,560",49.59,954,"6,484","1,479","7,198","5,291","3,259",62,126,"850,894",502,45,"1,335",7.35,8.28,19.67,16.32,14.77,11.09,10.4,7.5,4.63,69.05,28.57,"3,405"
東山公園,"15,097","7,552","3,742",49.55,"1,029","5,221","1,134","4,423","3,931","2,012",51,45,"382,235",272,24,193,9.45,8.79,14.87,16.54,16.54,12.09,10.69,7.04,4,57.78,42.22,"2,093"
星ケ丘,"51,162","6,401","2,928",45.74,934,"4,188","1,140","13,126","3,182","1,450",46,68,"3,342,319",326,33,"7,026",10.67,8.18,10.09,17.85,16.93,11.45,11.83,8.72,4.28,69.12,25,"3,957"
一社,"27,933","8,065","3,915",48.54,"1,009","5,541","1,277","8,734","4,272","2,250",53,77,"1,612,672",530,40,"1,178",9.09,8.26,14.08,17.98,16.26,11.57,11.38,7.54,3.83,46.75,41.56,"5,011"
上社,"22,554","7,751","3,854",49.72,"1,165","5,419",949,"8,041","3,735","1,794",48,52,"821,548",495,40,449,10.26,10.29,14.91,17.15,17.76,11.6,9.32,5.47,3.23,50,38.46,"5,450"
本郷,"23,314","7,344","3,681",50.12,973,"5,111","1,031","7,833","3,788","2,002",53,57,"976,830",471,40,408,8.77,9.73,15.66,16.95,16.67,11.88,10.25,6.52,3.58,49.12,38.6,"5,406"
藤が丘,"58,658","8,672","4,186",48.27,"1,059","6,094","1,191","8,355","4,856","2,925",60,114,"964,957",596,67,780,8.65,9.48,17.46,17.27,16.05,10.9,10.3,6.44,3.45,57.02,40.35,"5,449"
砂田橋,"14,259","6,795","3,226",47.48,659,"4,353","1,591","8,253","3,300","1,375",42,34,"585,988",198,19,"3,816",6.6,7.69,12.63,13.82,12.58,13.29,16.32,11.1,5.95,52.94,38.24,"2,113"
ナゴヤドーム前矢田,"21,216","4,354","2,137",49.08,448,"2,825",901,"9,130","2,146","1,004",47,59,"1,267,988",312,33,821,6.73,8.91,12.58,14.78,14.69,12.84,14.16,9.37,5.94,57.63,35.59,"6,912"
大曽根,"36,334","8,817","4,171",47.31,803,"6,073","1,719","12,550","4,667","2,405",52,109,"1,555,651",712,75,674,6.45,6.6,15.8,16.36,14.4,12.98,13.09,9.03,5.29,53.21,41.28,"9,341"
平安通,"10,313","11,199","5,372",47.97,"1,146","7,542","2,355","10,782","5,558","2,513",45,91,"1,182,090",643,55,"1,167",7.22,7.14,14.13,15.94,13.55,13.16,13.45,10.11,5.32,48.35,43.96,"5,952"
志賀本通,"11,528","9,634","4,717",48.96,919,"6,289","2,300","8,280","4,816","2,344",49,74,"853,303",563,58,786,6.39,7.21,13.25,15.31,13.81,12.66,13.17,10.95,7.26,37.84,50,"4,324"
黒川,"26,899","8,323","4,040",48.54,765,"5,435","1,987","10,218","4,228","2,115",50,105,"633,903",726,74,795,6.32,7.24,12.74,15.5,13.56,12.42,14.68,10.93,6.6,54.29,41.9,"6,731"
名城公園,"9,693","7,101","3,398",47.85,878,"4,327","1,847","6,123","3,385","1,451",43,64,"492,434",335,27,261,8.64,7.56,9.71,14.54,14.69,11.9,13.47,12.34,7.15,48.44,46.88,"2,931"
市役所,"40,714","3,077","1,632",53.04,259,"2,143",509,"23,942","1,549",934,60,62,"693,667",706,62,"1,079",6.11,6.04,15.14,18.92,16.99,12.56,12.39,7.9,3.95,59.68,35.48,"21,578"
久屋大通,"46,935","4,685","2,162",46.15,338,"3,046",789,"60,280","3,038","2,055",68,468,"10,222,310","3,611",344,465,5.44,5.63,14.54,17.42,17.61,12.51,13.68,8.39,4.79,80.77,18.16,"58,912"
栄,"143,379","2,694","1,269",47.1,135,"1,637",535,"78,164","1,847","1,308",71,804,"26,198,548","4,481",484,808,4.12,4.46,15.3,16.51,15.26,12.83,14.48,10.14,6.89,82.46,16.79,"76,830"
矢場町,"62,113","6,347","3,041",47.91,285,"3,767","1,290","40,463","4,488","3,372",75,697,"26,246,312","2,395",229,"2,626",3.86,4.53,17.09,16.47,13.91,12.99,13.16,10.78,7.21,87.23,11.33,"36,516"
上前津,"43,461","9,858","4,554",46.2,662,"6,235","1,921","19,256","6,123","4,064",66,414,"4,918,521","1,645",166,595,5.33,6.26,15.8,16.9,13.78,12.47,13.56,9.8,6.1,78.99,18.84,"16,423"
東別院,"13,217","9,298","4,451",47.87,710,"6,138","1,623","13,755","5,581","3,482",62,84,"826,742",909,90,"2,165",5.84,5.73,16.2,17.33,14.58,13.38,13.16,8.51,5.28,59.52,35.71,"9,344"
金山,"147,874","8,322","4,106",49.34,615,"5,534","1,642","22,734","4,967","3,087",62,155,"2,307,266","1,279",132,"2,580",5.56,5.34,15.99,16.6,14.51,13.06,13.63,10.12,5.2,60,37.42,"17,957"
日比野,"16,341","7,423","3,664",49.36,837,"5,004","1,491","8,414","3,528","1,582",45,71,"1,299,931",533,41,647,7.61,8.35,13.94,14.98,14.51,12.63,13.83,9.08,5.07,36.62,53.52,"5,574"
六番町,"13,725","8,189","4,102",50.09,873,"5,254","1,977","7,607","3,826","1,706",45,58,"537,246",479,43,"1,215",7.44,7.43,12.43,15.15,12.95,12.64,13.95,10.75,7.27,51.72,43.1,"3,557"
東海通,"13,923","6,839","3,481",50.9,700,"4,617","1,515","5,425","3,237","1,433",44,52,"503,309",269,32,492,6.85,7.61,14.8,14.04,12.79,13.8,13.92,10.51,5.68,44.23,48.08,"2,494"
港区役所,"6,862","4,124","2,039",49.44,428,"2,696","1,000","6,411","1,780",660,37,32,"422,902",183,21,"1,609",7.01,7.61,12.85,13.33,11.9,13.84,16.22,10.42,6.81,43.75,43.75,"3,234"
築地口,"10,173","6,620","3,288",49.67,657,"4,350","1,612","8,243","2,923","1,201",41,95,"513,119",454,66,"1,567",6.36,7.96,13.52,12.72,13.43,13.49,14.85,10.74,6.95,50.53,45.26,"4,258"
名古屋港,"10,658","2,928","1,492",50.96,331,"1,929",668,"8,671","1,344",599,45,44,"197,193",327,44,341,7.45,7.82,14.11,13.83,13.46,13.32,13.22,10.45,6.35,50,50,"7,347"
上小田井,"17,020","5,321","2,692",50.59,869,"3,620",756,"5,674","2,346",937,40,37,"616,585",262,19,"1,215",11.5,9.34,12.49,21.39,17.16,8.83,9.04,6.56,3.7,43.24,48.65,"3,025"
庄内緑地公園,"7,717","4,189","2,097",50.06,554,"2,728",847,"2,640","1,874",722,39,28,"366,321",182,22,0,9.06,8.57,11.16,18.45,15.45,9.98,13.01,10.15,4.17,42.86,46.43,"1,249"
庄内通,"12,797","8,886","4,391",49.41,891,"5,809","2,077","6,775","4,300","1,933",45,74,"951,574",485,40,418,6.79,7.48,11.73,15.13,14.43,13.03,14.5,11.32,5.57,50,45.95,"3,392"
浄心,"13,636","8,783","4,289",48.83,806,"5,611","2,227","9,505","4,243","1,962",46,124,"749,711",758,85,"1,167",5.91,7.34,12.87,13.56,13.8,12.92,14.31,12.11,7.17,52.42,43.55,"5,518"
浅間町,"9,333","7,514","3,569",47.5,658,"4,983","1,697","8,933","3,901","2,054",53,103,"1,073,035",714,53,787,5.83,6.88,15.01,15.47,13.89,12.39,13.58,10.62,6.34,48.54,45.63,"6,031"
