index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
238,豊川稲荷,"4,485","3,440","1,662",48.31,429,"2,099",888,"3,618","1,350",374,28,118,"674,643",334,41,355,8.08,9.31,8.93,12.97,13,13.79,14.9,11.59,7.44,52.54,38.98,"2,118"
239,新安城,"18,353","6,827","3,568",52.26,983,"4,813",933,"4,980","2,949","1,124",38,72,"1,383,145",328,36,107,9.19,10.63,13.63,15.64,16.17,14.55,11.28,6.42,2.5,52.78,38.89,"2,991"
240,北安城,946,"3,136","1,600",51.02,424,"2,110",583,"2,980","1,324",478,36,28,"200,825",157,11,624,9.07,9.07,12.57,16.7,14.24,12.6,12.76,8.69,4.3,35.71,50,"1,336"
241,南安城,"3,863","5,812","2,987",51.39,859,"3,959",943,"4,193","2,420",887,37,65,"624,504",354,33,231,10.02,9.86,13.13,17.05,15.75,11.74,11.02,7.64,3.8,61.54,32.31,"2,245"
242,碧海古井,938,"4,239","2,145",50.6,786,"2,834",604,"1,999","1,465",271,19,24,"126,836",107,11,76,12.19,12.26,11.74,16.07,14.86,11.15,12.64,6.96,2.13,33.33,50,620
243,堀内公園,427,"2,398","1,181",49.25,354,"1,543",499,"1,246",765,116,15,8,"74,735",50,3,3,8.89,11.73,9.14,14.07,13.9,12.81,15.03,9.31,5.13,37.5,50,421
244,桜井,"4,066","2,880","1,454",50.49,441,"1,887",532,"3,260","1,126",393,35,73,"615,753",167,18,"1,198",10.73,9.09,12.86,18.04,12.83,10.91,13.14,7.9,4.51,58.9,34.25,"1,250"
245,米津,"1,534","2,686","1,403",52.23,423,"1,832",425,"1,518","1,070",358,33,14,"107,074",99,5,29,10.11,10.86,12.31,18.96,14.48,11.23,11.57,7.09,3.4,50,35.71,720
246,桜町前,"2,684","4,293","2,129",49.59,678,"2,844",762,"2,693","1,538",406,26,42,"580,158",197,14,0,10.13,10.74,12.79,14.92,14.83,12.3,11.67,7.99,4.62,38.1,35.71,"1,369"
247,西尾口,328,"3,134","1,617",51.6,464,"2,071",588,"3,737","1,279",467,37,52,"940,992",228,32,38,10.21,9.25,13.96,16.52,13.74,10.92,12.01,8.87,4.51,48.08,38.46,"2,765"
248,西尾,"9,424","3,580","1,752",48.94,495,"2,241",840,"6,261","1,393",441,32,158,"1,397,570",477,42,506,9.14,8.78,10.9,15.74,12.72,11.57,13.53,10.01,7.6,65.82,27.22,"4,651"
249,福地,843,853,425,49.82,145,526,182,522,242,16,7,4,"39,661",38,1,0,11.61,10.55,8.44,15.24,12.08,12.54,14.77,9.14,5.63,25,0,237
251,上横須賀,"1,205","2,129","1,028",48.29,293,"1,330",506,"1,923",701,153,22,46,"348,376",136,6,334,8.74,10.62,10.57,14.33,12.73,11.84,13.81,10.85,6.53,50,36.96,866
253,吉良吉田,"2,558","2,257","1,113",49.31,358,"1,377",521,"1,574",700,120,17,31,"181,185",129,7,61,10.78,10.47,9.71,13.97,12.68,12.24,13.08,11.26,5.81,51.61,41.94,727
254,吉良吉田,"2,558","2,257","1,113",49.31,358,"1,377",521,"1,574",700,120,17,31,"181,185",129,7,61,10.78,10.47,9.71,13.97,12.68,12.24,13.08,11.26,5.81,51.61,41.94,727
