index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
185,名電長沢,465,"4,230","2,111",49.91,771,"2,587",866,"3,103","1,362",167,12.26,16,"259,382",74,1,408,11.27,11.46,8.03,15.11,13.62,11.32,16.15,8.67,4.38,12.5,62.5,"1,248"
186,本宿,"5,145","9,514","4,716",49.57,"1,453","5,841","2,198","8,759","3,356",668,19.9,52,"311,123",259,13,"2,344",9.93,10.65,9.8,13.54,12.21,12.55,16.07,10.7,4.55,42.31,44.23,"2,893"
187,名電山中,992,"8,918","4,453",49.93,"1,169","5,600","2,126","8,641","3,092",623,20.15,58,"362,724",269,15,"1,370",8.42,10.01,10.85,12.87,12.21,13.37,16.28,10.68,5.32,39.66,48.28,"4,132"
188,藤川,"4,388","10,764","5,516",51.24,"1,331","7,176","2,246","15,068","3,813",958,25.12,36,"306,493",269,13,"4,446",8,9.65,13.1,12.75,12.86,14.84,14.19,9.26,5.34,33.33,55.56,"6,971"
189,美合,"7,392","35,715","18,170",50.87,"5,469","23,969","6,155","29,221","13,133","3,508",26.71,209,"2,491,883","1,216",96,"4,707",9.99,11.14,12.47,15.24,14.5,12.39,12.58,7.53,4.15,35.41,46.41,"13,791"
190,男川,"3,020","58,734","29,386",50.03,"8,944","38,984","10,516","55,025","22,623","6,576",29.07,520,"10,759,677","2,397",207,"11,073",9.96,10.84,12.05,15.48,14.58,12.26,12.21,7.83,4.79,48.08,34.62,"25,625"
191,東岡崎,"36,658","66,699","32,966",49.43,"9,074","42,816","14,482","79,847","26,886","8,397",31.23,978,"11,844,142","4,464",391,"12,561",8.91,9.48,11.23,14.57,13.71,12.59,13.69,9.65,6.15,57.46,33.95,"45,095"
192,岡崎公園前,"3,072","55,608","27,724",49.86,"7,576","36,291","11,458","68,511","22,600","7,328",32.42,813,"8,650,750","3,921",335,"8,722",8.89,9.51,12.03,14.85,13.96,12.48,13.43,9.28,5.57,57.07,34.69,"41,635"
193,矢作橋,"6,027","47,938","24,397",50.89,"7,084","32,543","8,099","41,737","18,557","5,486",29.56,373,"6,705,597","1,919",163,"7,874",9.91,10.11,13.5,16.11,13.81,12.3,12.88,7.48,3.9,45.84,37.53,"19,313"
194,宇頭,"2,888","28,613","14,961",52.29,"4,292","19,267","4,906","24,062","10,825","3,202",29.58,124,"2,578,299",882,58,"3,909",10.05,10.29,13.37,16.48,13.69,11.78,13.01,7.7,3.63,33.87,36.29,"11,200"
195,新安城,"18,353","51,550","26,814",52.02,"9,045","34,753","7,373","39,489","20,404","6,419",31.46,267,"4,136,940","1,439",131,"4,655",11.77,10.97,12.77,17.86,15.66,10.59,10.75,6.9,2.73,43.07,40.82,"19,569"
196,牛田,"3,554","49,950","26,049",52.15,"7,826","33,470","8,399","41,715","20,395","7,126",34.94,376,"4,367,627","1,680",127,"7,187",10.42,10.18,13.26,16.97,14.81,10.94,11.83,7.78,3.82,53.99,32.71,"19,142"
197,知立,"30,628","51,611","27,280",52.86,"8,096","34,865","8,388","50,603","21,159","7,547",35.67,491,"6,589,284","2,107",172,"7,818",10.71,9.85,13.83,17.68,14.82,10.37,11.61,7.49,3.64,53.77,33.4,"27,078"
198,一ツ木,"2,537","48,335","25,786",53.35,"7,722","33,265","7,063","60,768","19,942","7,338",36.8,364,"5,606,921","1,885",166,"5,842",10.87,10.31,15.08,17.93,14.81,10.37,10.77,6.75,3.11,45.05,37.09,"40,677"
199,富士松,"2,395","27,097","14,303",52.78,"4,247","18,309","4,401","36,854","10,843","3,825",35.28,137,"2,534,388",979,71,"4,002",10.22,10.58,14.51,17.22,14.24,10.58,11.71,7.57,3.38,38.69,40.15,"24,920"
200,豊明,"4,008","38,350","19,515",50.89,"5,653","25,215","7,325","35,147","15,158","4,586",30.25,311,"4,735,597","1,715",141,"4,477",9.6,10.31,12.93,16.08,13.85,10.85,13.68,9.06,3.64,48.55,33.76,"18,773"
201,前後,"19,539","55,199","27,828",50.41,"7,842","36,021","11,117","47,812","21,892","6,394",29.21,341,"4,066,643","1,915",167,"8,729",9.28,9.93,11.94,15.81,13.75,11.32,14.8,9.28,3.89,46.92,37.83,"20,691"
202,中京競馬場前,"8,950","75,272","37,446",49.75,"11,599","48,832","14,511","49,794","28,855","7,411",25.68,329,"3,207,889","1,691",126,"10,449",10.45,9.89,11.13,16.32,14.08,11.32,14,8.8,4.01,47.72,44.07,"14,840"
203,有松,"13,041","78,679","39,133",49.74,"12,269","51,367","14,638","54,421","29,963","7,334",24.48,400,"4,177,344","2,131",199,"9,893",10.57,10.11,11.09,16.25,14.36,11.66,13.55,8.51,3.92,46.25,43.25,"19,312"
204,左京山,"3,921","78,796","38,947",49.43,"11,450","51,095","15,775","59,463","30,653","7,857",25.63,473,"4,728,038","2,650",228,"10,429",9.79,9.58,11.42,15.87,13.88,11.92,13.74,9.06,4.74,52.64,37,"22,916"
205,鳴海,"17,636","78,283","39,045",49.88,"11,066","50,775","15,883","66,532","31,116","8,346",26.82,526,"7,561,162","3,382",279,"9,241",9.41,9.54,11.19,15.49,13.88,12.3,14.37,9.31,4.51,50.76,34.6,"30,607"
206,本星崎,"3,699","82,412","41,731",50.64,"10,156","52,423","19,037","83,716","34,973","11,958",34.19,619,"9,510,223","4,328",365,"9,386",8.16,8.69,11.42,14.47,13.15,12.58,15.42,10.67,5.45,51.37,33.93,"44,805"
207,本笠寺,"4,424","101,319","51,144",50.48,"12,114","64,424","23,779","96,741","43,862","15,779",35.97,769,"11,251,695","4,941",456,"11,479",7.84,8.61,11.31,14.46,13.18,12.7,15.35,10.79,5.76,48.5,39.4,"48,981"
208,桜,"3,010","108,109","53,985",49.94,"12,705","69,172","25,207","104,329","47,525","17,911",37.69,891,"10,526,579","5,654",551,"12,185",7.78,8.39,11.67,14.8,13.39,12.47,14.88,10.63,5.98,48.48,41.86,"54,426"
209,呼続,"2,051","121,681","60,163",49.44,"13,955","77,729","28,819","116,194","54,858","21,895",39.91,"1,055","10,545,881","6,347",635,"15,382",7.52,8.34,11.65,14.53,13.4,12.59,14.82,10.69,6.46,50.62,42.27,"58,434"
210,堀田,"13,092","113,973","56,374",49.46,"12,390","72,776","27,646","125,992","52,381","21,745",41.51,"1,192","12,509,005","6,852",701,"17,255",7.09,8.18,11.87,14.19,13.21,12.7,15.07,10.9,6.8,54.11,39.68,"69,972"
211,神宮前,"30,064","107,979","53,346",49.4,"11,586","69,285","25,912","143,929","50,154","21,306",42.48,"1,162","17,033,743","7,198",714,"21,590",7.09,7.95,12,14.37,13.35,12.77,14.86,10.74,6.86,54.04,38.47,"86,283"
212,金山,"148,639","115,028","56,057",48.73,"10,939","74,877","24,165","168,376","59,910","31,379",52.38,"1,710","24,892,317","10,629","1,026","13,234",6.71,7.11,14.15,15.85,13.74,12.72,13.93,9.92,5.88,60.82,32.75,"122,444"
213,
214,名鉄名古屋,"269,431","104,907","52,555",50.1,"8,340","67,458","24,086","383,370","59,075","35,462",60.03,"2,441","60,178,078","21,397","1,970","22,139",5.55,6.73,15.48,15.33,13.41,12.01,13.79,11.02,6.68,60.34,35.6,"330,662"
