index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
5020,馬込沢,"26,219","71,371","35,160",49.26,"9,777","45,199","16,207","44,343","27,366","6,063",22.16,271,"3,004,868","1,353",85,"8,210",9.27,8.78,9.8,15.68,13.41,11.56,16.57,10.47,4.46,44.28,43.17,"10,604"
5021,塚田,"14,236","102,708","51,692",50.33,"16,497","69,450","16,238","57,802","42,250","12,781",30.25,262,"4,511,686","1,480",107,"9,532",11.26,9.23,11.68,19.07,15.53,10.66,12.18,7.24,3.14,38.93,46.95,"15,845"
5022,新船橋,"11,918","134,951","68,290",50.6,"18,994","93,633","21,240","106,665","61,388","24,648",40.15,764,"19,936,111","4,245",422,"12,219",9.85,8.37,13.26,19.31,15.85,10.98,11.8,7.15,3.44,49.87,42.28,"53,162"
5023,船橋,"112,000","128,185","64,681",50.46,"16,297","88,875","21,851","113,967","60,302","25,835",42.84,"1,040","24,708,466","5,052",503,"10,291",8.88,7.75,13.53,19,15.56,11.24,12.45,7.77,3.82,58.08,34.71,"64,310"
5024,国府台,"11,607","137,231","67,907",49.48,"14,781","88,653","29,508","110,793","65,747","28,478",43.31,"1,051","8,787,707","5,298",472,"29,076",7.31,8.03,12.6,15.85,14.6,11.74,14.4,10.08,5.39,48.91,46.81,"38,954"
5025,市川真間,"7,134","138,145","68,423",49.53,"14,458","88,765","29,281","113,426","66,227","28,047",42.35,"1,122","9,410,835","5,284",456,"29,867",7.17,7.91,12.19,16,15.03,11.84,14.7,10.18,4.98,50.98,45.37,"41,111"
5026,菅野,"4,062","149,224","74,139",49.68,"15,249","95,963","31,265","112,328","72,361","31,130",43.02,"1,316","12,185,930","5,769",534,"20,325",7.06,7.72,12.25,16.31,15.11,11.91,14.63,10.14,4.86,53.12,42.93,"46,352"
5027,京成八幡,"32,322","154,611","76,803",49.67,"16,588","99,698","31,808","115,641","73,531","30,776",41.85,"1,354","14,820,473","5,826",553,"19,700",7.32,8.07,12.01,16.2,15.35,11.96,14.36,9.97,4.76,52.88,42.1,"47,911"
5028,鬼越,"4,938","159,228","80,263",50.41,"18,522","105,638","29,330","108,194","74,944","31,184",41.61,"1,138","13,725,036","5,046",455,"14,304",7.96,8.32,12.48,17.03,15.81,12,13.5,8.69,4.21,52.28,41.3,"44,791"
5029,京成中山,"3,616","155,556","79,040",50.81,"18,680","105,196","26,376","108,145","74,151","31,950",43.09,"1,105","14,777,773","5,119",471,"12,842",8.33,8.22,13.08,17.95,16.09,11.8,12.76,7.84,3.93,52.13,41.45,"48,856"
5030,東中山,"6,687","145,576","74,640",51.27,"18,737","99,945","23,153","91,873","68,273","28,762",42.13,755,"11,706,995","3,516",294,"12,996",9,8.33,13.45,18.64,16.01,11.48,12.27,7.22,3.61,48.08,43.84,"35,464"
5031,京成西船,"9,796","139,040","71,502",51.43,"18,391","96,672","21,139","87,082","65,281","27,701",42.43,574,"8,106,631","3,090",243,"12,066",9.32,8.29,13.74,19.18,16.06,11.3,11.87,6.82,3.42,43.03,48.78,"33,794"
5032,海神,"4,779","133,349","68,437",51.32,"17,558","94,259","19,909","113,561","63,992","28,462",44.48,759,"20,706,037","4,581",436,"11,759",9.35,7.83,14.31,19.99,16.03,11.06,11.39,6.72,3.32,49.67,43.21,"62,777"
5033,京成船橋,"92,109","121,896","61,492",50.45,"15,381","84,645","20,745","113,363","57,781","25,159",43.54,"1,081","25,459,678","5,120",514,"10,492",8.83,7.66,13.62,19.12,15.58,11.2,12.42,7.74,3.85,59.48,33.3,"65,636"
