駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
8871,桑園,"19,806","7,098","3,399",47.89,855,"4,921","1,322","9,630","3,353","1,326",40,54,"1,601,876",352,28,862,8.75,8.21,13.3,16.84,14.1,12.69,12.92,8.38,4.8,42.59,46.3,"6,581"
8872,札幌,"186,626","3,725","1,714",46.01,211,"2,890",536,"68,261","2,477","1,743",70,502,"19,989,263","2,814",226,"3,082",4.18,11.41,27.06,14.74,11.66,10.26,10.12,6.9,3.68,78.69,19.92,"64,564"
8873,苗穂,"8,352","3,289","1,534",46.64,357,"2,233",694,"4,130","1,562",613,39,37,"740,721",181,7,0,6.24,8.25,11.17,15.25,15.92,13.45,14.27,8.76,6.7,51.35,27.03,"3,105"
8874,白石,"15,736","9,174","4,402",47.98,"1,094","6,294","1,760","5,569","4,248","1,646",39,49,"983,910",364,21,0,8.4,8.15,13.31,16.81,12.91,13.15,13.57,8.66,5.04,40.82,46.94,"2,235"
8875,厚別,"6,140","7,487","3,538",47.26,857,"5,317","1,313","4,705","3,483","1,261",36,26,"319,966",194,10,807,7.01,9.9,13.56,15.55,15.04,14.55,11.77,8.48,4.15,38.46,42.31,"1,353"
8876,森林公園,"8,256","5,212","2,459",47.18,668,"3,603",939,"3,693","2,086",447,21,15,"464,685",64,5,"1,051",7.24,12.5,10.21,10,14.76,17.99,14.94,8.02,4.34,33.33,53.33,794
8877,大麻,"14,782","4,120","2,062",50.05,219,"2,982",901,"2,484","2,602","1,668",64,19,"203,802",110,7,495,3.34,14.38,28.36,6.94,7.12,10.4,13.26,10.58,5.63,26.32,73.68,686
8878,野幌,"13,254","5,938","2,746",46.24,538,"3,920","1,474","4,742","2,700",904,33,63,"718,568",365,30,47,5.11,10.49,10.72,10.17,14.75,15.46,16,11.18,6.12,44.44,46.03,"2,348"
8879,高砂,"5,664","3,002","1,432",47.7,372,"2,036",594,"3,288","1,292",357,28,24,"462,247",115,9,636,8.16,8.92,11.62,15.18,13.35,13.72,15.35,8.69,5,41.67,33.33,"1,548"
8880,江別,"7,934","2,481","1,129",45.51,261,"1,516",704,"2,198","1,015",269,27,20,"213,262",134,9,173,5.89,9.8,8.75,10.56,13.75,14.64,15.32,10.97,10.32,50,40,"1,062"
8881,豊幌,902,"1,143",516,45.14,136,714,302,595,371,45,12,3,0,22,1,0,6.67,10.75,8.06,8.93,15.77,16.38,13.26,11.87,8.32,0,100,141
8882,幌向,"2,598","1,798",832,46.27,205,"1,098",495,"1,427",689,120,17,17,"232,186",54,5,271,6,11.28,7.33,8.11,13.61,18.28,14.33,13.11,7.94,52.94,35.29,379
8883,上幌向,960,"1,325",604,45.58,93,776,457,836,534,101,19,2,0,19,0,83,3.91,7.75,7.37,7.37,10.91,18.28,17.76,17.31,9.33,0,50,111
8884,岩見沢,"9,084","1,977",876,44.31,190,"1,144",642,"4,230",879,400,46,105,"633,126",438,33,29,6.53,6.02,9.97,12.04,10.93,12.9,16.65,12.45,12.5,52.38,44.76,"3,351"
8885,峰延,156,550,248,45.09,40,267,248,531,194,37,19,7,"46,967",35,1,24,3.96,8.81,5.4,6.47,11.15,10.61,18.17,18.88,16.55,57.14,28.57,191
8886,光珠内,42,148,85,57.43,11,92,50,125,78,46,59,1,0,9,1,0,3.95,18.42,13.16,7.89,7.24,10.53,11.84,15.13,11.84,0,100,27
8887,美唄,"2,600","2,153",980,45.52,199,"1,250",699,"3,079","1,067",471,44,89,"643,404",352,34,60,6.34,8.25,9.46,10.48,10.58,14.07,14.96,14.49,11.37,65.17,28.09,"2,081"
8888,茶志内,32,224,105,46.88,15,103,115,287,102,29,28,2,0,16,0,37,5.13,2.56,4.27,5.13,8.97,14.96,19.66,26.07,13.25,50,0,94
